trend;Скорость реагирования;place_total_fail;place_total_letters;link_numbers;severity;google_rating;place_id;name;place_fail_rel_size;site;rating
0.0;404.0;3.0;205.0;84.0;0.2222222222222222;4.0;ChIJZbMm5GqzSkER0W-I7pk1bsA;Сотекс ФармФирма ЗАО;0.013333333333333334;http://www.sotex.ru/;0.14518518518518514
0.0;;16.0;161.0;830.0;0.6666666666666666;2.9000000000000004;ChIJ_5nO4RRLtUYRgKPSs_37TYk;Экселджин Лаборатуар;0.06666666666666668;http://www.piluli.ru/;0.3844444444444444
0.0;;2.0;4.0;115.0;0.8888888888888888;5.0;ChIJ_UUnnlortUYRg80Y4wMgJ80;"ООО ""Фирма ""Випс-Мед""";0.030303030303030307;http://www.vipsmed.ru/;0.3063973063973064
0.0;;4.0;105.0;227.0;1.0;;ChIJaf1kOxBNtUYRQuW1cp98ydw;Р-Фарм ЮС Оперэйтин ЭЛЭЛСИ;0.09302325581395347;http://www.r-pharm.com/ru/;0.5310077519379844
0.0;;3.0;11.0;232.0;1.0;3.0;ChIJb5YieAlMtUYRC59u2Jeuyhg;Эвалар ЗАО;0.011904761904761904;https://www.evalar.ru/;0.4706349206349206
0.0;;9.0;74.0;29.0;1.0;5.0;ChIJbShggKy1SkERnOYCir1_4oE;Эйсай Мануфэкчуринг Лимитед;0.1176470588235294;http://apteka007.ru/;0.3725490196078432
-1.0;;7.0;;;1.0;;ChIJcWTIzMtItUYRsMzR_m-qC_s;"Закрытое акционерное общество ""ГлаксоСмитКляйн Трейдинг""";0.00373134328358209;http://www.glaxosmithkline.ru/;0.5012437810945274
1.0;255.0;3.0;40.0;19.0;1.0;;ChIJceyUBiNKtUYRyJmP0fAAc-k;Кревель Мойзельбах ГмбХ;0.09090909090909093;http://www.krewel-meuselbach.ru/;0.5303030303030303
0.0;;1.0;1.0;81.0;1.0;;ChIJcxfWBLRLtUYRUD7iIwIA3TM;Ферринг ГмбХ;0.028571428571428567;http://www.ferring.ru/;0.5095238095238095
0.0;98.0;4.0;115.0;1330.0;1.0;;ChIJd22kARNKtUYR_15_VenR82g;Эбеве Фарма Гес.м.б.Х. Нфг.КГ.;0.03571428571428571;https://www.rlsnet.ru/firm_index_id_404.htm;0.511904761904762
0.0;;1.0;1.0;;1.0;5.0;ChIJdQJbAQdKtUYRC47YwAAmDUM;Фирн М ЗАО;0.018518518518518517;;0.3395061728395062
0.0;;1.0;19.0;15.0;1.0;;ChIJdc7WB2uzSkERpAE4Y-RSKqI;Ципла Лтд.;0.03225806451612903;http://protek-svm.ru/;0.510752688172043
0.0;;2.0;25.0;30.0;1.0;5.0;ChIJe73X6xWoSkERsmC6psMeDhM;Росбио ООО;0.08333333333333333;http://www.zeldis.ru/;0.3611111111111111
0.0;;4.0;234.0;2423.0;0.6666666666666666;;ChIJeZc7yh21SkERx5trQmeTwnI;"Открытое акционерное общество ""Дальхимфарм""";0.011494252873563218;http://dhf.khv.ru/;0.3927203065134099
1.0;201.0;6.0;8.0;;1.0;;ChIJf5WJuQNLtUYR53XHU6jH9zM;ООО Актавис;0.017699115044247787;;0.5058997050147492
0.0;;2.0;84.0;;1.0;;ChIJfXUVSz9KtUYRQNT2nzsvvmw;Зентива к.с.;0.01;http://www.zentiva.ru/;0.5033333333333333
0.0;;1.0;16.0;26.0;1.0;5.0;ChIJfc2KK7qtSkERmQNGKtfCpNU;Фармцентр ВИЛАР ЗАО;0.010204081632653059;http://www.vilar-plant.ru/;0.33673469387755106
