place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение;"Торговое наименование
лекарственного препарата"
ChIJg1n53bA2tUYRZJ-wWTYCvbc;Аромасинтез ООО;Глицерин
;"Акционерное общество ""Фармославль""";Валацикловира гидрохлорид
;Чжуншань Беллинг Биотекнолоджи Ко.Лтд;Урсодезоксихолевая кислота
;Макко Органикс с.р.о.;Магния хлорида гексагидрат
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Гвайазулен
;Хетеро Лабс Лимитед;Эмтрицитабин
;Кешава Органикс Пвт.Лтд;Фенирамина малеат
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Цилу Фармасьютикал Ко.Лтд.;Доцетаксела тригидрат - Лонг Шенг Фарма Лимитед®
;"Общество с ограниченной ответственностью ""Новороссийский кислородный завод"" (ООО ""Новороссийский кислородный завод"")";Кислород жидкий медицинский
ChIJb5YieAlMtUYRC59u2Jeuyhg;Хиноин Завод Фармацевтических и Химических продуктов ЗАО;Алпростадил
;Макко Органикс с.р.о.;Кальция хлорид дигидрат
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Ромашки экстракт жидкий (44 : 100)
;"Общество с ограниченной ответственностью ""ФармИнтеллект""";Бисопролола фумарат
;Хетеро Лабс Лимитед;Абакавира сульфат
ChIJdRqKh-M2tUYRRePmr6ISta8;"Общество с ограниченной ответственностью Торговый Дом ""Факел"" (ООО ТД ""Факел"")";Кислород жидкий медицинский
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Миконазола нитрат
;Уси Фочун Фармасьютикал Ко., Лтд;Нетилмицина сульфат
;Вирупакша Органикс Лтд;Флуконазол
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Блумейдж Фреда БиоФарм Ко.Лтд;Натрия гиалуронат
;Полидраг Лабораториз Пвт.Лтд;Лозартан калия
;Титан Лабораториз Пвт.Лтд;Галантамин
;Нош Лабз Прайвет Лимитед;Розувастатин кальция
ChIJXT3BO7dLtUYR-5UG68hFTYQ;Валентис ЗАО;Касторовое масло
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Этикалс С.п.А.;Бромокриптина мезилат
ChIJSxa40iFLtUYRt4qiPG6IDbU;ГЛЕНМАРК ФАРМАСЬЮТИКАЛЗ ЛТД.;Телмисартан
ChIJZc45VBNMtUYRcBChJmn5IkM;Ново Нордиск А/С;Инсулин Детемир
ChIJhZzA0A9LtUYRKNy2RR6u9uA;СиТиИкс Лайф Сайенсиз Пвт.Лтд;Метопролола сукцинат
ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""БИОКАД"" (ЗАО ""БИОКАД"")";Пегилированный рекомбинантный гранулоцитарный колониестимулирующий фактор человека
ChIJsygL9UIUtUYRsYlUQqhOn8U;"Акционерное общество ""Биннофарм"" (АО ""Биннофарм"")";Эритропоэтин альфа человеческий рекомбинантный
ChIJ4-Ay-9pNtUYRqAtOS1OnNv8;"Закрытое акционерное общество ""Активный Компонент"" (ЗАО ""Активный Компонент"")";Нафтифина гидрохлорид
;Ниасет Б.В.;Натрия ацетата тригидрат
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Фенспирида гидрохлорид
ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""БИОКАД"" (ЗАО ""БИОКАД"")";Бевацизумаб
ChIJK4ELVNtNtUYRjlNFkPzgOFg;"Закрытое акционерное общество ""ВЕРТЕКС"" (ЗАО ""ВЕРТЕКС"")";Телмисартан
;Индустриал Кимика С.р.Л.;Салметерола ксинафоат
ChIJi0hOjQpKtUYRNL-Tg0RQXsc;Индустриале Кимика С.р.Л.;Латанопрост
;Конкорд Биотек Лтд;Микофенолата мофетил
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Гефитиниб
;Сикор Сосиэта Италиана Кортикостероиди С.р.л.;Будесонид
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Лозартан калия
;"ООО ""Нижнефарм""";Спирт этиловый
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Чунцин Хуапонт Фармасьютикал Ко.Лтд;Нафтифина гидрохлорид
;"Открытое акционерное общество ""Усолье-Сибирский химико-фармацевтический завод"" (ОАО ""Усолье-Сибирский химфармзавод"")";Уголь активированный
;Вирупакша Органикс Лтд;Трамадола гидрохлорид
ChIJez3U4XJNtUYR9mnOcGyMcAU;"Общество с ограниченной ответственностью ""Инфарма""";Мопарин®
ChIJi0hOjQpKtUYRNL-Tg0RQXsc;Индустриале Кимика С.р.Л.;Фенотерола гидробромид
;Хетеро Лабс Лимитед;Лозартан калия
ChIJC9qlt9MstUYRmvj5LMf-JFY;"Закрытое акционерное общество ""Канонфарма продакшн"" (ЗАО ""Канонфарма продакшн"")";Фозиноприл натрия
ChIJOZlzXf5ItUYRt15PvD7PTpM;"Закрытое акционерное общество ""Р-Фарм"" (ЗАО ""Р-Фарм"")";Флуфеназина деканоат
;Деривадос Кимикос С.А.У.;Бутоконазола нитрат
ChIJLRinf8JLtUYR66DCfuaH-mE;"ООО ""Фармстандарт""";Сальбутамола сульфат
ChIJb5YieAlMtUYRC59u2Jeuyhg;"Закрытое Акционерное Общество ""ЭВАЛАР"" (ЗАО ""ЭВАЛАР"")";Тимьяна обыкновенного травы экстракт жидкий
ChIJ9ZYG-qE2tUYR3nk-TKZBYZI;"Акционерное общество ""ВЕРТЕКС"" (АО ""ВЕРТЕКС"")";Мебеверина гидрохлорид
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Фармиспания С.А.;Цисатракурия безилат
ChIJm3B8sINMtUYRTPc2C-3HsQo;"Закрытое акционероное общество ""ЭКОлаб"" (ЗАО ""ЭКОлаб"")";Тимьяна экстракт жидкий
;"Закрытое акционерное общество ""Медисорб"" (ЗАО ""Медисорб"")";Севофлуран
;Цилу Тяньхэ Фармасеутикал Ко., Лтд.;Капецитабин
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Калия бромид
;Лузохимика С.п.А.;Фенотерола гидробромид
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"ОАО ""Ирбитский химфармзавод""";Дибазол
;МСН Лабораториз Пвт.Лтд;Вориконазол
;Гербамед АГ;Цимицифуга рацемоза Cimicifuga racemosa (Cimicifuga)
ChIJFfC6-Ck5tUYR8_cDq_aEqeI;"Федеральное государственное унитарное предприятие ""Научно-производственный центр ""Фармзащита"" Федерального медико-биологического агентства (ФГУП НПЦ ""Фармзащита"" ФМБА России)";Мефлохина гидрохлорид
ChIJhVUQhW01tUYRUMAYmEeqZe0;Синтон Б.В.;Бортезомиб
ChIJXwdxGdxLtUYRllLOIM8WOvg;"Акционерное общество ""Фармасинтез"" (АО ""Фармасинтез"")";Осельтамивира фосфат
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"" (ФГУП ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"")";Лорноксикам
ChIJ3c2zi59NtUYRkcMQBKd0U9I;"ЗАО ""Институт фармацевтических технологий""";Сульфалонг®
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Касторовое масло
ChIJ6XDCYZZLtUYRvlYlAN8f6GQ;Фрезениус Каби Дойчланд ГмбХ;Гидроксиэтилкрахмал 130/0.4
ChIJx76NZM1LtUYRQN7LcStjgSg;Байер АГ;Моксифлоксацина гидрохлорид для пероральных лекарственных форм
;СМС Фармацеутикалс Лтд;Золмитриптан
;"Общество с ограниченной ответственностью ""Полисинтез"" (ООО ""Полисинтез"")";L-Метионин
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Пароксетина гидрохлорид гемигидрат
ChIJgTkLbY85tUYRjy6a50nTqAQ;"Открытое акционерное общество ""Фармстандарт-Уфимский витаминный завод"" (ОАО ""Фармстандарт-УфаВИТА"")";Бедаквилина фумарат
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место""";Розувастатин кальция
ChIJQ4S7OhE1tUYRsayopXzdjU4;"Закрытое акционерное общество ""Фармацевтическое предприятие ""Оболенское"" (ЗАО ""ФП ""Оболенское"")";Урсодезоксихолевая кислота
ChIJLRinf8JLtUYR66DCfuaH-mE;"ООО ""Фармстандарт""";Фосфомицина трометамол
;"Открытое акционерное общество ""Татхимфармпрепараты"" (ОАО ""Татхимфармпрепараты"" )";Уголь активированный
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Аммиак раствор 10 %
ChIJN6HKHxZLtUYRdmH4zD2uK14;"ООО ""МСД Фармасьютикалс""";Ситаглиптина фосфата моногидрат
;Цилу Антибиотикс (Линьи) Фармасьютикал Ко.Лтд;Варфарин натрия клатрат
;"ООО ""НТПФ ""Анта-Медикал""";Нефопам-Анта
ChIJzyN1jFDMSkERQwylkaZYQkY;"Закрытое акционерное общество ""Бинергия"" (ЗАО ""Бинергия"")";Натрия пара-аминосалицилат
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д.;Такролимус
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;"Закрытое акционерное общество ""Северная звезда"" (ЗАО ""Северная звезда"")";Тадалафил
ChIJLRinf8JLtUYR66DCfuaH-mE;"ООО ""Фармстандарт""";Оксиметазолина гидрохлорид
ChIJVVVVVVVCNEERIg-ynVuN_pE;"Общество с ограниченной ответственностью ""Изварино Фарма"" (ООО ""Изварино Фарма"")";Периндоприла эрбумин
ChIJp7OiFxBLtUYRAlLOfZyUKcg;"ОАО ""Гедеон Рихтер""";Алендроната натрия тригидрат
;Хуанши Шиксинь Фармасьютикал Ко.Лтд;Декскетопрофена трометамол
;ВииВ Хелскер Великобритания Лимитед;Ламивудин
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Хэбэй Хуачэнь Фармасьютикал Ко., Лтд;Борная кислота
ChIJs2zlNdI0tUYRlQ-wVhcAfmQ;Чунцин Тианди Фармасьютикал Ко., Лтд;Меропенем натрия карбонат
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Леналидомид
;MM Фармахем д.о.о по торговле и представительству - Московское представительство;Ритонавир
;"ООО ""Промгаз-Технологий""";Кислород жидкий медицинский
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Фармиспания С.А.;Пеметрексед
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Глатирамера ацетат
ChIJPSqAfPJKtUYRHpBjRB2OPPI;Эвоник Рексим (Наньнин) Фармасьютикал Ко.Лтд;L-Аспарагиновая кислота
ChIJLRinf8JLtUYR66DCfuaH-mE;"ООО ""Фармстандарт""";Висмута субнитрат
ChIJtWMGEaBNtUYROvHrLEWfo0c;Хетеро Драгс Лимитед;Валганцикловира гидрохлорид
ChIJtWMGEaBNtUYROvHrLEWfo0c;Хетеро Драгс Лимитед;Ритонавир
;Чжэцзян Кемсен Фарм Ко., Лтд.;Сульфаниламид
ChIJN5t4CjesSkERQ1DK79U7f40;"Закрытое акционерное общество ""ВИФИТЕХ"" (ЗАО ""ВИФИТЕХ"")";Желчь крупного рогатого скота
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Майлен Лабораториз Лимитед;Лопинавир
;"Общество с ограниченной ответственностью (ООО ""Сатерекс"")";Госоглиптин
;"ОАО ""Омутнинская научная опытно-промышленная база"" (ОАО ""ОНОПБ"")";Тобрамицин
ChIJM9szLLqtSkERywPbkwQz5kc;"Общество с ограниченной ответственностью ""Научно-производственное объединение ""ФармВИЛАР"" (ООО НПО ""ФармВИЛАР"")";Валерианы экстракт густой
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Цилу Фармасьютикал Ко.Лтд.;Винорелбина тартрат
ChIJveVS7eFKtUYRdVWjQEI-UOk;Новартис Фарма АГ;Телбивудин
;Хонор Лаб Лимитед;Умифеновира гидрохлорид моногидрат
ChIJwRJOuiBLtUYRCMfRJf2kvDk;Амино ГмбХ;L-Яблочная кислота
;Цзянсу Хэнжуй Медисин Ко.Лтд;Месна
ChIJOZlzXf5ItUYRt15PvD7PTpM;"АО ""Р-Фарм """;Кальция полистиролсульфонат
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Антиген вируса гриппа типа А аллантоисный (H1N1)
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Антиген вируса гриппа типа В аллантоисный
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"" (ФГУП ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"")";Оксибупрокаина гидрохлорид
;"Открытое акционерное общество ""Усолье-Сибирский химико-фармацевтический завод"" (ОАО ""Усолье-Сибирский химфармзавод"")";Мезокарб
;Конкорд Биотек Лтд;Циклоспорин
ChIJo8Oi2ApNtUYRBHSUceApjh4;Люпин Лимитед;Тенофовира дизопроксил фумарат
ChIJ44yfOVNUNUERU61wdaFJGV4;"ООО ""Рус Биофарм""";Саквинавира мезилат
;"Закрытое акционерное общество ""Исследовательский Институт Химического Разнообразия"" (ЗАО ""ИИХР"")";Йодиксанол
;Сичуан Ксиели Фармасьютикал Ко.Лтд;Гесперидин
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Йодоформ
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Чжэцзян Ланхуа Фармасьютикал Ко.Лтд;Левофлоксацин
;"ООО ""МагТехГаз""";Кислород жидкий медицинский
;Свати Спентозе Пвт. Лтд;Лидокаин
ChIJieZTUhNKtUYR-gKL6naxjzU;"Федеральное государственное унитарное предприятие ""Научно-производственное объединение по медицинским иммунобиологическим препаратам ""Микроген"" Министерства здравоохранения Российской Федерации (ФГУП ""НПО ""Микроген"" Минздрава России)";Антиген вируса гриппа типа А аллантоисный (H3N2)
;"Общество с ограниченной ответственностью ""ЭббВи""";Экструдат лопинавир + ритонавир, 16,7 % + 4,2 %
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д.;Микофенолата мофетил
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;"ООО ""Лайф Сайнсес ОХФК""";Феназопиридина гидрохлорид
ChIJj1lzW3s3tUYR0Nutzmtd71s;"ООО ""Вита""";Кислород медицинский жидкий
ChIJz85mQWBJtUYRqXZd5-n9oTs;"Общество с ограниченной ответственностью ""Фармамед"" (ООО ""Фармамед"")";Фенибут
;Дишман Фармасьютикалс энд Кемикалс Лимитед;Гексэтидин
;"Федеральное государственное унитарное предприятие ""Специальное конструкторско-технологическое бюро ""Технолог"" (ФГУП ""СКТБ ""Технолог"")";Пророксан
ChIJXwdxGdxLtUYRllLOIM8WOvg;"Акционерное общество ""Фармасинтез"" (АО ""Фармасинтез"")";Энтекавир
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лтд;Варфарин натрия
ChIJB9kGrdZKtUYRGki17GY4QH4;"ООО НПК ""ФармХимКомплект""";Цитраль, раствор спиртовой 1%, субстанция
ChIJ1zmbgUmtSkER_hO3YJ3iw_I;"Закрытое акционерное общество ""Северная звезда"" (ЗАО ""Северная звезда"")";Энтекавир
ChIJrybe6-dKtUYRzLFutFZe3vE;Астеллас Фарма Юроп Б.В.;Тамсулозин ОКАС
ChIJY8up48xItUYRcbCjYoGqLTk;"ОАО ""АВВА РУС""";Мебендазол
;Хетеро Лабс Лимитед;Гефитиниб
;Нортек Кимика С.А.;Прилокаин
ChIJO2VluUhNtUYRJ3MX1U_JXsI;"Закрытое акционерное общество ""Вектор-Медика"" (ЗАО ""Вектор-Медика"")";Интерферон альфа-2 человеческий рекомбинантный (ИФН альфа-2 чр)
ChIJK4ELVNtNtUYRjlNFkPzgOFg;"Закрытое акционерное общество ""ВЕРТЕКС"" (ЗАО ""ВЕРТЕКС"")";Диосмин
ChIJBW-HVze1SkERmWo9580bjhU;"Федеральное государственное унитарное предприятие ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"" (ФГУП ""МОСКОВСКИЙ ЭНДОКРИННЫЙ ЗАВОД"")";Лоразепам
;Чжэцзян Цзянбэй Фармасьютикал Ко.Лтд;Симвастатин
;"Акционерное общество ""Красногорские лекарственные средства"" (АО ""Красногорсклексредства"")";Валерианы экстракт сухой
;Моэхс Иберика С.Л.;Оланзапин
ChIJM9szLLqtSkERywPbkwQz5kc;"Общество с ограниченной ответственностью ""Научно-производственное объединение ""ФармВИЛАР"" (ООО НПО ""ФармВИЛАР"")";Пустырника экстракт сухой
;Сычуань Нью Хаук Био-Технолоджи Ко.Лтд;Гесперидин
;"Открытое акционерное общество ""Флора Кавказа"" (ОАО ""Флора Кавказа"")";Стрептоцид
ChIJ44yfOVNUNUERU61wdaFJGV4;"ООО ""Рус Биофарм""";Абакавира сульфат
ChIJz85mQWBJtUYRqXZd5-n9oTs;"Общество с ограниченной ответственностью ""Фармамед"" (ООО ""Фармамед"")";Адеметионина 1,4-бутандисульфонат
;"Фармацевтический завод ""ПОЛЬФАРМА"" АО";Пирацетам
ChIJAQDMt-NKtUYRM4Emp4K--ZI;Санофи-Авентис Дойчланд ГмбХ;Рамиприл
;Прокос С.п.А.;Пропафенона гидрохлорид
ChIJK4ELVNtNtUYRjlNFkPzgOFg;"Закрытое акционерное общество ""ВЕРТЕКС"" (ЗАО ""ВЕРТЕКС"")";Тизанидина гидрохлорид
ChIJM9szLLqtSkERywPbkwQz5kc;"ЗАО ""ФПК ""ФармВИЛАР""";Метформина гидрохлорид
;"ОАО ""Марбиофарм""";Римантадина гидрохлорид
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Смектит диоктаэдрический
ChIJB4Z_bqBItUYRTdq3ynqX9KQ;"ЗАО ""Инновационный научно-производственный центр ""Пептоген """;Пепторелин®
;"ООО ""Алтайфарм""";Лития карбонат
;Финорга;Бетагистина дигидрохлорид
ChIJM9szLLqtSkERywPbkwQz5kc;"Общество с ограниченной ответственностью ""Научно-производственное объединение ""ФармВИЛАР"" (ООО НПО ""ФармВИЛАР"")";Термопсиса экстракт сухой
ChIJTyRRmw7S3UMRTjLbrVwxKo4;"ЗАО ""Оберон""";Гликолан
;Сычуань Нью Хаук Био-Технолоджи Ко.Лтд;Диосмин
ChIJCypTg2RKtUYRI-eS-PnJzYw;"Общество с ограниченной ответственностью ""ПРОТЕК-СВМ"" (ООО ""ПРОТЕК-СВМ"")";Карбамазепин
ChIJveVS7eFKtUYRdVWjQEI-UOk;Новартис Фарма АГ;Микофенолат натрия
ChIJb5YieAlMtUYRC59u2Jeuyhg;"Закрытое Акционерное Общество ""ЭВАЛАР"" (ЗАО ""ЭВАЛАР"")";Нафтифина гидрохлорид
;Чжэцзян Чериотир Фармасьютикал Ко.Лтд;Клопидогрела гидросульфат
ChIJkbo1cRJLtUYRMGRLo57JCGQ;Тева Фармацевтические Предприятия Лтд;Дорзоламида гидрохлорид
;Нош Лабз Прайвет Лимитед;Дапоксетина гидрохлорид
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лтд;Месалазин
;Оптимас Драгс (П) Лимитед;Дапоксетина гидрохлорид
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лтд;Бисопролола фумарат
;Симпекс Фарма Пвт. Лтд.;Левофлоксацин
ChIJ6VPxt6NLtUYR3XgwKqK4w34;"ЗАО ""Алтайвитамины""";Шиповника экстракт жидкий
;Синофарм Вейкида Фармасьютикал Ко., Лтд.;Цефтазидим с натрием карбонатом
;Индустриал Кимика С.р.Л.;Тиотропия бромид метанола сольват
;"ОАО ""Ивановская фармацевтическая фабрика""";Калия бромид
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Этиловый эфир альфа-бромизовалериановой кислоты
ChIJtfmJlfeySkERM8quumUoRUA;Вёрваг Фарма ГмбХ и Ко.КГ;Магния оротата дигидрат
;Суприя Лайфсайенс Лтд;Сальбутамола сульфат
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лтд;Карведилол
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Цилу Фармасьютикал Ко.Лтд.;Пеметрексед динатрия
;"Общество с ограниченной ответственностью  ""Авексима Сибирь""";Уголь активированный
;Кимика Синтетика C.А.;Фебуксостат
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д.;Амлодипина безилат
ChIJP9rRaspJtUYRN5_yqYcXiKY;Сандоз д.д.;Розувастатин кальция
;"АО ""Фармославль""";Невирапин
ChIJRyy2-nxKtUYRr2meqfHJvpw;Кадила Фармасьютикалз Лимитед;Бозентана моногидрат
ChIJ44yfOVNUNUERU61wdaFJGV4;"ООО ""Рус Биофарм""";Энтекавир
;"ООО ""Научно-производственная фирма ""КЕМ""";Глицерин
;Рокетт Фрер;Перлитол ПФ
;Фермента Биотек Лтд;Холекальциферол
ChIJveVS7eFKtUYRdVWjQEI-UOk;Новартис Фарма АГ;Метформина гидрохлорид гранулят
ChIJo8Oi2ApNtUYRhSmy4-v1aDA;Мединекс Лабораториз Пвт.Лтд;Норэпинефрина битартрат
ChIJOZlzXf5ItUYRt15PvD7PTpM;"АО ""Р-Фарм """;Фимасартана калия тригидрат
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Шаньдун Кэюань Фармасьютикал Ко.Лтд;Ксантинола никотинат
;Жухай Юнайтед Лабораториз Ко.Лтд;Сульбактама пивоксил
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Финголимода гидрохлорид
ChIJuY107P1LtUYR3G7xZ7rGH_U;"ООО ""МДА""";Дегидроэпиандростерон
ChIJtWMGEaBNtUYROvHrLEWfo0c;Хетеро Драгс Лимитед;Периндоприла трет-бутиламин
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Сорафениба тозилат
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Нилотиниба гидрохлорида моногидрат
ChIJSefogZhLtUYRt0-leiY5nVo;Такеда Фармасьютикал Компани Лимитед;Алоглиптина бензоат
;СайДжен БиоФарма Пвт.Лтд;Инсулин человеческий рекомбинантный
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Натрия микофенолат
ChIJtWMGEaBNtUYROvHrLEWfo0c;Хетеро Драгс Лимитед;Энтекавира моногидрат
ChIJSxa40iFLtUYRt4qiPG6IDbU;ГЛЕНМАРК ФАРМАСЬЮТИКАЛЗ ЛТД.;Левоцетиризина дигидрохлорид
ChIJLRinf8JLtUYR66DCfuaH-mE;"ООО ""Фармстандарт""";Паклитаксел полусинтетический
ChIJu4nq5OHPSkERVN5v6SzNWAI;"Акционерное общество ""Химико-фармацевтический комбинат ""АКРИХИН"" (АО ""АКРИХИН"")";Тиамазол
;Пруденс Фарма Кем;Амлодипина бесилат
ChIJ4w5Mw8bU3UMRTRqwLhVueGA;АстраЗенека АБ;Тикагрелор
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Дазатиниб
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Поливинилпирролидон низкомолекулярный медицинский 12600±2700
ChIJ3UaGaNRLtUYRLBn2gksA1Ac;"АО ""КРКА, д.д., Ново место""";Эзомепразол
;"ОАО ""Марбиофарм""";Никетамид
ChIJq6qqasxEtUYR1tRvm4fQYLs;"Закрытое акционерное общество ""БИОКАД"" (ЗАО ""БИОКАД"")";Глатирамера ацетат
ChIJN_nsU0DMSkERAtYswXjfUTs;"Акционерное общество ""Линде Газ Рус""";Азота закись медицинская
;Лаурус Лабс Пвт.Лтд;Атазанавира сульфат
ChIJM9szLLqtSkERywPbkwQz5kc;"Общество с ограниченной ответственностью ""Научно-производственное объединение ""ФармВИЛАР"" (ООО НПО ""ФармВИЛАР"")";Силимарин экстракт сухой
;"Общество с ограниченной ответственностью ""ФармИнтеллект""";Рабепразол натрия
;"Общество с ограниченной ответственностью ""ЮжФарм"" (ООО ""ЮжФарм"")";Фурадонин
;Экселла ГмбХ;Темозоломид
ChIJN6HKHxZLtUYRdmH4zD2uK14;"ООО ""МСД Фармасьютикалс""";Ралтегравир калия
ChIJ6xIHYka1SkERc-eFU7L6eQE;"ПАО ""Биосинтез""";Магния L-аспарагинат
;"АО ""Фармославль""";Йопромид
ChIJs8k2pDlKtUYRTBV4Ej5i3Os;"Общество с ограниченной ответственностью ""Натива"" (ООО ""Натива"")";Левосальбутамола гидрохлорид
;"Общество с ограниченной ответственностью ""БратскХимСинтез""";Дарунавир
ChIJZ9LB395LtUYRM-zk3WKovNY;"Акционерное Общество ""ГЕНЕРИУМ"" (АО ""ГЕНЕРИУМ"")";Алтеплаза
ChIJV1xCmEJKtUYRA1eX38m8BWA;"Федеральное государственное унитарное предприятие ""Государственный научный центр ""Научно-исследовательский институт органических полупродуктов и красителей"" (ФГУП ""ГНЦ ""НИОПИК"")";Таурин
;Хетеро Лабс Лимитед;Омепразол
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Чжецзян Старри Фармасьютикал Ко., Лтд;Йодиксанол
;Алембик Фармасьютикалс Лимитед;Эторикоксиб
;Сикор Сосиэта Италиана Кортикостероиди С.р.л.;Лоперамида гидрохлорид
;Юнион Кимико Фармацеутика С.А.;Циклопентолата гидрохлорид
;"Акционерное общество ""Усолье-Сибирский химико-фармацевтический завод"" (АО ""Усолье-Сибирский химфармзавод"")";Натрия хлорид
;"Акционерное общество ""Исследовательский Институт Химического Разнообразия"" (АО ""ИИХР"")";Тенофовира дизопроксила фумарат
ChIJPzmvuxFNtUYRwUxtOrG8CWU;Ипка Лабораториз Лтд;Лозартан калия
;Пирамал Энтерпрайзис Лимитед;Мебеверина гидрохлорид
ChIJD2ppfXxOtUYRXgerAER87O0;"Общество с ограниченной ответственностью ""Фармбиопром"" (ООО ""Фармбиопром"")";Доксиламина сукцинат
;"Общество с ограниченной ответственностью ""БратскХимСинтез""";Капецитабин
ChIJN6HKHxZLtUYRdmH4zD2uK14;"ООО ""МСД Фармасьютикалс""";Эналаприла малеат
;"Общество с ограниченной ответственностью ""БЕРАХИМ"" (ООО ""БЕРАХИМ"")";Азаметония бромид
ChIJ-zHoPnZJtUYR8D_m_FLE-Ec;Цзинань Цзиньда Фармасьютикал Кемистри Ко.Лтд;Фурацилин
;"ОАО ""Ивановская фармацевтическая фабрика""";Натрия тетраборат
