place_id;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJf5WJuQNLtUYR53XHU6jH9zM;"АО ""Актавис Групп"""
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"ОАО ""Ирбитский химфармзавод"""
ChIJJ6kwNYxJtUYRzA_kvmsKLi0;"Открытое акционерное общество ""Авексима"""
;"Закрытое акционерное общество ""Биоком"""
;"ООО ""ПКФ ""Фитофарм"""
ChIJAS6Ddv1LtUYRQJq3r1QJDWI;медак ГмбХ
;"СП ""Сперко Украина"" (Совместное украинско-испанское предприятие ""Сперко Украина"")"
;"Совместное украинско-испанское предприятие в форме общества с ограниченной ответственностью ""Сперко Украина"" (СП ""Сперко Украина"")"
ChIJv0hf4BJLtUYRK4WAOJkwknA;"Закрытое акционерное общество ""БЕРЛИН-ФАРМА"" (ЗАО ""БЕРЛИН-ФАРМА"")"
;"Закрытое акционерное общество ""Фармпроект"""
;"Акционерное общество ""Фармпроект"" (АО ""Фармпроект"")"
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Общество с ограниченной ответственностью  ""ЛЭНС-Фарм"""
ChIJhZ_y71o1tUYRBI-csN9swg8;"Общество с ограниченной ответственностью ""ЛЭНС-Фарм"" (ООО ""ЛЭНС-Фарм"")"
ChIJl4iGdHI1tUYRPpuMLBy-t98;"Общество с ограниченной ответственностью ""ВЕРОФАРМ"" (ООО ""ВЕРОФАРМ"")"
ChIJJfc_heZItUYRs5nshVyIoKc;"ЗАО ""Мединторг"""
ChIJJfc_heZItUYRs5nshVyIoKc;"АО ""Мединторг"""
