place_id;place_was_nullated;place_no_end;place_time;place_size;Юридическое лицо, на имя которого выдано регистрационное удостоверение
ChIJAQAAAGdKtUYRLENRd5MZgUA;1.0;0.5416666666666667;1827.8333333333335;34;Др. Фальк Фарма ГмбХ
ChIJAQAAAGdKtUYRnnI4kQsRIaE;1.0;0.0;1826.0;1;Микрофарм ООО
ChIJAQDMt-NKtUYRM4Emp4K--ZI;0.8412285295349812;0.48394253595866504;1738.4568452380952;270;Санофи-Авентис груп
ChIJARXz2C5NtUYRUIrP68ZVWKk;0.16666666666666666;0.16666666666666666;1826.0;6;Биофарма ЗАО
ChIJAS6Ddv1LtUYRQJq3r1QJDWI;0.9464285714285714;0.75;1826.357142857143;56;медак ГмбХ
ChIJASLfwkSzSkERFo99dVvWVHc;1.0;0.0;1826.0;1;"Общество с ограниченной ответственностью ""МБА-групп"""
ChIJAT0m7cBMtUYRaGssaLKdlXA;1.0;0.6666666666666666;1827.0;3;"ООО ""Азотно-кислородный завод"""
ChIJAYNGsG5MtUYRKIQegK7V9Q4;0.9565217391304348;0.8467656415694591;1826.2037037037037;146;"ООО ""Лек С+"""
ChIJAYNGsG5MtUYRZwgIepfWna0;0.5;0.5;1826.0;3;"ООО ""НПК ""Медбиофарм"""
ChIJAYNGsG5MtUYRdU7JW2ahjnM;1.0;0.75;1827.0;4;"ООО ""Самсон-Мед"""
ChIJAYNGsG5MtUYRfTcZELT-joQ;1.0;1.0;;3;"Закрытое акционерное общество ""Вектор-БиАльгам"""
ChIJAYNGsG5MtUYRppeZmBjxeA4;0.9;0.4;1826.0;10;Полисинтез ООО
ChIJAZ1wQi1GtUYRtRCFaE4J4V4;1.0;1.0;;1;"ООО ""Астрафарм"""
ChIJA_KtCfJJtUYRCm1u8LmzDvc;1.0;0.0;1826.0;1;"ОАО ""Машиностроительная компания КРАНЭКС"""
ChIJAayCoAs1tUYREMnAFDMSVXk;0.5714285714285714;0.14285714285714285;1826.1666666666667;7;Хемофарм концерн А.Д.
ChIJAyCa5VBLtUYRv8m3Jetvf-4;1.0;0.8896103896103896;1826.235294117647;80;Б.Браун Мельзунген АГ
ChIJB0-ZXAdKtUYREugGKB6cnIk;1.0;0.7333333333333333;1826.25;15;Герот Фармацойтика ГмбХ
ChIJB0-ZXAdKtUYRzMPB2x5rufY;1.0;0.6666666666666666;1826.142857142857;21;Ланнахер Хайльмиттель ГмбХ
ChIJB4F09IJJtUYRGlmJbvZ62vE;0.96875;0.875;1826.0;32;Бакстер АГ
ChIJB4Z_bqBItUYRTdq3ynqX9KQ;1.0;0.5666666666666667;1862.25;13;Пептоген Инновационный научно-производственный центр ЗАО
ChIJB9kGrdZKtUYRGki17GY4QH4;1.0;1.0;;7;"ООО НПК ""ФармХимКомплект"""
ChIJBQQcmwVJtUYROQideVc0ugU;0.6363636363636364;0.0;1826.0;22;Техмедсервис ЗАО
ChIJBQtckcJLtUYRUBV3s1BOX5A;1.0;0.0;1826.0;3;Аптеки 36.6 ЗАО
ChIJBW-HVze1SkERmWo9580bjhU;1.0;0.829891451601978;1682.2357142857145;229;"Федеральное государственное унитарное предприятие ""Московский эндокринный завод"""
ChIJBWq9V11ItUYR7FmnCMndC4M;1.0;0.0;1827.0;1;Российский НИИ гематологии и трансфузиологии ФМБА ФГУ
ChIJBZpUEotJtUYRoaADFv92i_s;1.0;1.0;;12;Самсон-Мед ООО
ChIJBb2QJkBNtUYRIcVoSdHPxx8;1.0;0.5833333333333334;1826.0;7;Пептек ЗАО
ChIJBb2QJkBNtUYRMpHmqeI3c0s;1.0;1.0;;19;Центр Пептос ЗАО
ChIJBb2QJkBNtUYRVbMkr69nn_I;0.6666666666666666;0.6666666666666666;1826.0;8;Комбиотех НПК ЗАО
ChIJBb2QJkBNtUYRebKm_xR9Qto;1.0;1.0;;7;"ФГБУ науки ""Институт биоорганической химии им.академиков М.М.Шемякина и Ю.А.Овчинникова"" РАН  (ИБХ РАН)"
ChIJBbilcUcxtUYRaR7QYlzl_DQ;1.0;0.5;1826.0;2;"ООО ""Реванш"""
ChIJBcgZYB1ItUYR0JQxxN47AFs;1.0;1.0;;3;"Общество с ограниченной ответственностью ""Иммуно-Гем"" (ООО ""Иммуно-Гем"")"
ChIJBcgZYB1ItUYRXqp8400jxUs;0.75;0.75;1826.0;6;"Общество с ограниченной ответственностью ""Иммуно-Гем"""
ChIJBfjVpMU5tUYRp0nvk1loQTo;0.6875;0.6875;1826.0;11;"Закрытое акционерное общество Научно-производственное объединение ""Европа-Биофарм"""
ChIJBwmA5a5LtUYRr3I72lqEAvU;0.5370370370370371;0.48888888888888893;1826.2222222222224;57;Орион Фармацевтика
ChIJBy1eYxpLtUYR8c0MRBVzQqg;1.0;1.0;;1;Симрайз ГмбХ & Ко КГ
ChIJByRU9JwVtUYROjZcTjngjcQ;0.0;0.0;1826.0;3;Биос НПФ ООО
ChIJC-41M-lJtUYRT9fTLMOthGM;1.0;0.3333333333333333;1826.0;8;"Общество с ограниченной ответственностью ""Лонг Шенг Фарма Рус"""
ChIJC0G76Rs4tUYRfG2PRvD16l8;1.0;0.5;1826.0;2;Артлайф ООО
ChIJC28lEiZNtUYRbVf3ZCSZc0o;1.0;0.8846153846153846;1826.0;14;Фармапарк ООО
ChIJC5U4GoA1tUYRC9qDtPnR0rI;1.0;0.5;1826.0;2;Ликом НПО ООО
ChIJC5U4GoA1tUYRoZovpZ-wfjI;1.0;0.75;1827.0;4;Полихем С.А.
ChIJC6d9eC04tUYRSsITGGQcy3s;1.0;1.0;;1;"ООО ""Нортон"""
ChIJC7VhSBxLtUYRN0CgFH0ufFw;0.5;0.5;1827.0;2;"ООО ""Криосервис"""
ChIJC9qlt9MstUYRmvj5LMf-JFY;1.0;0.7918250659406109;1799.306241906242;282;Фармацевтическая компания Цисин
ChIJCUGGsGTT3UMRAL4jB40scy0;0.8125;0.6875;1826.0;14;"Общество с ограниченной ответственностью ""Биоком"" (ООО ""Биоком"")"
ChIJCVQaTKXKSkER-_U2cU6ff4Q;1.0;1.0;;17;Виал ООО
ChIJCX5vpGpNtUYRL9W72vihwO4;1.0;0.5;1826.0;7;"Общество с ограниченной ответственностью ""Фарма Био"""
ChIJCZBxI9xKtUYR4v5VFLNrjEs;1.0;0.6;1826.5;5;"Федеральное государственное учреждение ""Государственный институт кровезаменителей и медицинских препаратов"""
ChIJCaSdfB9LtUYRj5IGHij5VA0;1.0;0.5;1826.0;2;Рош Диагностикс ГмбХ
ChIJCbR2ESi1SkER5Cwm7WxPViI;1.0;0.96875;1827.0;17;Фармгид ЗАО
ChIJCdcAAgg1tUYRR17hAv_H7oU;1.0;0.5;1826.0;2;"ОАО ""Химический завод им.Л.Я.Карпова"""
ChIJCedEf3xOtUYRxn9KcFAwt2c;1.0;0.25;1826.0;8;"ООО ""Манас Мед"""
ChIJCw-0S69LtUYRTel-BnOb5lI;1.0;0.5;1826.0;2;Хоспира С.п.А.
ChIJCypTg2RKtUYRI-eS-PnJzYw;1.0;0.85;1826.1666666666667;49;"Общество с ограниченной ответственностью ""ПРОТЕК-СВМ"" (ООО ""ПРОТЕК-СВМ"")"
ChIJCze00SBItUYRJ5ABtBVe3vc;1.0;0.0;1826.0;1;"ООО ""Март"""
ChIJD1qjE9lKtUYR0Fo0WCYjxgc;1.0;0.8333333333333333;1826.6666666666667;22;Х.Лундбек А/О
ChIJD2ppfXxOtUYRXgerAER87O0;1.0;1.0;;2;"Общество с ограниченной ответственностью ""Фармбиопром"" (ООО ""Фармбиопром"")"
ChIJD3PHICZNtUYROMOUckT1VWY;1.0;0.5;1826.0;2;"Закрытое акционерное общество ""Фармапэк"" (ЗАО ""Фармапэк"")"
ChIJD6YefYY5tUYRMDjwVfS52EE;1.0;1.0;;3;Белкозин - Лужский завод ОАО
ChIJDQV3Bo85tUYRQEG2NjR2PIQ;1.0;0.8334448160535117;1826.203125;153;"Публичное акционерное общество ""Отисифарм"""
ChIJDQtEIfRMtUYRgJHulymdiQw;1.0;0.0;1826.0;1;"ЗАО ""Сальское РТП"""
ChIJDSFM6qlGtUYRTqW6Zqq3HrU;0.9846153846153847;0.6923076923076923;1826.0;65;Красногорсклексредства ОАО
ChIJDUpldf9KtUYRC0yofOD0OaM;0.9555555555555556;0.8666666666666667;983.1666666666666;19;БАСФ СЕ
ChIJDVjMMUisSkERAiTVUlwo4Tk;1.0;1.0;;1;Фарма АД
ChIJDYKyBS9NtUYRrp8Igx2DR8E;1.0;0.0;1826.0;1;"ЗАО ""Завод редких металлов"""
ChIJDZp2jeq1SkER7BVO4eRlOP0;1.0;0.1;1826.25;6;"Общество с ограниченной ответственностью ""Славянская аптека"""
ChIJDc_2xjpKtUYR7D7vKuMQp1E;1.0;0.0;2192.0;1;Дабур Индия Лимитед
ChIJDydTWbM2tUYRRJAcBNJk-Vw;0.8333333333333333;0.7083333333333333;1826.0;7;Технолог ЗАО
ChIJE-dmpWVKtUYRkCPgEhB5toQ;0.888888888888889;0.8333333333333334;1826.0;20;Ферросан АС
