,name,"(0, 'place_id')",place_id
173,"Закрытое акционерное общество ""Зеленая дубрава"" (ЗАО ""Зеленая дубрава"")",1,ChIJw0jGtFC1SkERVe0FauPd_Mo
174,Гомеофарма предприятие ООО,1,ChIJYSDufbVMtUYRvX-x8JGpd3g
175,Алкой ООО,1,ChIJOdxmBP1HtUYR1_DsidjqS1I
176,"Открытое акционерное общество ""Муромский приборостроительный завод"" (ОАО ""МПЗ"")",1,
177,"АО ""КРКА, д.д., Ново место""",1,ChIJ3UaGaNRLtUYRLBn2gksA1Ac
178,Фрезениус Медикал Кеа Дойчланд ГмбХ,1,
179,"Федеральное казенное предприятие ""Армавирская биологическая фабрика"" (ФКП ""Армавирская биофабрика"")",1,
180,"Федеральное государственное унитарное предприятие ""Армавирская биологическая фабрика""",1,
181,Лаборатории Майоли Спиндлер,1,ChIJI0J6gWtKtUYR1IbyoUvzNeI
182,Майоли Спиндлер Лабораториз,1,ChIJI0J6gWtKtUYR1IbyoUvzNeI
183,"Вокхард Лтд., Индия",1,ChIJd6COwHJNtUYRuWgi5sNziCk
184,Аджио Фармацевтикалз Лтд,1,ChIJydtP0a5MtUYRvaTk_uo0weY
185,К.О. Ромфарм Компани С.Р.Л.,1,ChIJ30Hy2PtOtUYRwCnaSntJXBw
186,К.О.Ромфарм Компани С.р.Л.,1,ChIJ30Hy2PtOtUYRwCnaSntJXBw
187,К.О.Ромфарм Компани С.Р.Л.,1,ChIJ30Hy2PtOtUYRwCnaSntJXBw
188,Эксэлтис Хелскеа С.Л.,1,ChIJRxMHmr1LtUYRdsIccQ5Jgrs
189,Эмбил Илач Сан. Лтд. Шти,1,ChIJ-zHoPnZJtUYR8D_m_FLE-Ec
190,Эмбил Фармацеутикал Ко.Лтд,1,ChIJc7BjExdLtUYRA4o6nc3PUr0
191,ЮСБ Фарма С.А.,1,ChIJYzPv99tLtUYRalBsxwU0Yuo
192,"ООО ""АБОЛмед""",1,ChIJjc6eUNSvSkERr9bN11bL2f8
193,Байер Шеринг Фарма АГ,1,ChIJx76NZM1LtUYRQN7LcStjgSg
194,Байер Фарма АГ,1,ChIJx76NZM1LtUYRQN7LcStjgSg
195,Байер АГ,1,ChIJx76NZM1LtUYRQN7LcStjgSg
196,ОПК Биотех ЛЛС,1,
197,Кревель Мойзельбах ГмбХ,1,ChIJceyUBiNKtUYRyJmP0fAAc-k
198,Д-р Редди'с Лабораторис Лтд,1,ChIJz0wKvftKtUYRE6bn6S4LM_s
199,Д-р Редди`с Лабораторис Лтд,1,ChIJz0wKvftKtUYRE6bn6S4LM_s
200,"ОАО ""Кемеровская фармацевтическая фабрика""",1,
201,Актавис Групп ПТС ехф,1,
202,"ООО ""Натива""",1,ChIJs8k2pDlKtUYRTBV4Ej5i3Os
203,"ЗАО ""Биоком""",1,ChIJ1Xij55IxtUYROT8klIGiRTg
204,"ООО ""ПИК-ФАРМА""",1,ChIJzSyBc3pKtUYR5JnmjB_yoAk
205,"Общество с ограниченной ответственностью ""ПИК-ФАРМА"" (ООО ""ПИК-ФАРМА"")",1,ChIJzSyBc3pKtUYR5JnmjB_yoAk
206,"ООО ""Омела""",1,ChIJcQHwynBKtUYReN98gOfg0fQ
207,"Республиканское унитарное производственное предприятие ""Белмедпрепараты"" (РУП ""Белмедпрепараты"")",1,
